"Data published in District Resource Statement","Data as of","Borough","Community District","DRS Medicaid (MA) Only Enrollees","DRS Total Medicaid (MA) Enrollees","DRS Cash Assistance (CA) Recipients","DRS Cash Assistance (CA) Cases","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households"
"FY 2021","10/31/2020","BROOKLYN","K16","10,020","31,443","12,829","6,574","39,279","22,533"
"FY 2021","10/31/2020","BROOKLYN","K17","12,989","27,421","8,603","5,136","32,564","21,016"
"FY 2021","10/31/2020","BROOKLYN","K18","15,125","27,522","5,998","3,375","31,175","18,908"
"FY 2021","10/31/2020","MANHATTAN","M01","1,410","2,771","681","513","2,267","1,770"
"FY 2021","10/31/2020","MANHATTAN","M02","2,396","3,537","436","349","2,970","2,411"
"FY 2021","10/31/2020","MANHATTAN","M03","20,665","38,958","7,330","4,769","37,728","25,896"
"FY 2021","10/31/2020","MANHATTAN","M04","5,565","12,487","3,724","2,675","13,077","9,822"
"FY 2021","10/31/2020","MANHATTAN","M05","1,627","6,325","2,948","1,916","6,155","4,320"
"FY 2021","10/31/2020","MANHATTAN","M06","2,935","5,774","1,533","1,231","5,519","4,732"
"FY 2021","10/31/2020","MANHATTAN","M07","7,651","16,573","4,291","2,940","17,218","12,752"
"FY 2021","10/31/2020","MANHATTAN","M08","4,156","6,933","1,088","773","6,005","4,675"
"FY 2021","10/31/2020","MANHATTAN","M09","8,726","19,673","5,601","3,550","23,100","15,204"
"FY 2021","10/31/2020","MANHATTAN","M10","10,675","26,660","8,799","5,564","32,003","20,701"
"FY 2021","10/31/2020","MANHATTAN","M11","14,730","37,005","11,372","6,984","43,609","27,395"
"FY 2021","10/31/2020","MANHATTAN","M12","21,008","40,317","7,604","4,956","47,002","32,278"
"FY 2021","10/31/2020","QUEENS","Q01","15,880","25,650","4,910","2,942","24,707","14,872"
"FY 2021","10/31/2020","QUEENS","Q02","11,168","15,294","2,071","1,312","11,638","7,298"
"FY 2021","10/31/2020","QUEENS","Q03","22,399","28,833","3,228","2,044","25,421","14,578"
"FY 2021","10/31/2020","QUEENS","Q04","24,548","31,923","3,461","2,165","27,178","15,760"
"FY 2021","10/31/2020","QUEENS","Q05","13,650","19,143","2,567","1,615","20,094","11,774"
"FY 2021","10/31/2020","QUEENS","Q06","8,428","12,520","1,057","695","10,818","7,399"
"FY 2021","10/31/2020","QUEENS","Q07","31,720","42,103","4,587","2,976","28,227","18,445"
"FY 2021","10/31/2020","QUEENS","Q08","15,006","22,298","3,476","2,128","19,197","11,465"
"FY 2021","10/31/2020","QUEENS","Q09","15,203","22,855","3,857","2,313","23,766","13,645"
"FY 2021","10/31/2020","QUEENS","Q10","10,931","16,852","2,926","1,729","17,564","10,501"
"FY 2021","10/31/2020","QUEENS","Q11","9,032","11,551","1,000","640","7,627","5,013"
"FY 2021","10/31/2020","QUEENS","Q12","22,580","42,083","11,296","6,658","47,381","28,564"
"FY 2021","10/31/2020","QUEENS","Q13","13,545","22,118","4,625","2,928","22,315","14,062"
"FY 2021","10/31/2020","QUEENS","Q14","11,527","28,238","8,554","4,069","30,586","16,721"
"FY 2021","10/31/2020","STATEN ISLAND","S01","15,288","36,042","11,906","5,644","39,339","20,848"
"FY 2021","10/31/2020","STATEN ISLAND","S02","11,317","17,962","2,787","1,522","15,906","9,241"
"FY 2021","10/31/2020","STATEN ISLAND","S03","8,147","12,338","1,709","1,006","11,365","7,070"
"FY 2022","10/31/2021","BRONX","B01","15,099","38,302","12,891","6,820","45,551","25,203"
"FY 2022","10/31/2021","BRONX","B02","7,007","19,251","6,709","3,402","22,604","12,670"
"FY 2022","10/31/2021","BRONX","B03","13,103","35,381","12,845","6,871","43,339","24,281"
"FY 2022","10/31/2021","BRONX","B04","19,760","46,129","14,923","7,799","56,813","32,391"
"FY 2022","10/31/2021","BRONX","B05","17,494","43,928","15,660","8,123","55,012","30,984"
"FY 2022","10/31/2021","BRONX","B06","11,404","34,199","13,710","6,865","40,296","22,227"
"FY 2022","10/31/2021","BRONX","B07","17,099","39,277","12,879","6,879","47,904","27,853"
"FY 2022","10/31/2021","BRONX","B08","8,289","16,018","3,626","1,945","18,365","11,173"
"FY 2022","10/31/2021","BRONX","B09","21,058","47,351","14,925","7,457","56,251","31,424"
"FY 2022","10/31/2021","BRONX","B10","9,364","17,879","4,324","2,311","20,537","12,504"
"FY 2022","10/31/2021","BRONX","B11","11,550","23,661","6,440","3,403","26,514","15,562"
"FY 2022","10/31/2021","BRONX","B12","14,566","36,344","14,082","7,051","40,888","22,740"
"FY 2022","10/31/2021","BROOKLYN","K01","30,398","43,647","7,274","2,821","51,034","20,981"
"FY 2022","10/31/2021","BROOKLYN","K02","6,538","13,283","3,562","2,151","14,054","9,630"
"FY 2022","10/31/2021","BROOKLYN","K03","18,492","36,711","10,322","5,400","43,931","24,526"
"FY 2022","10/31/2021","BROOKLYN","K04","10,861","20,557","4,404","2,515","24,529","15,685"
"FY 2022","10/31/2021","BROOKLYN","K05","24,420","51,312","15,142","7,785","65,022","37,933"
"FY 2022","10/31/2021","BROOKLYN","K06","5,062","10,463","2,585","1,508","11,424","7,499"
"FY 2022","10/31/2021","BROOKLYN","K07","16,603","24,100","3,468","2,126","21,824","13,505"
"FY 2022","10/31/2021","BROOKLYN","K08","8,751","18,020","5,057","2,993","19,718","13,095"
"FY 2022","10/31/2021","BROOKLYN","K09","10,614","18,444","4,093","2,444","20,831","13,022"
"FY 2022","10/31/2021","BROOKLYN","K10","14,031","19,849","2,468","1,461","18,320","11,040"
"FY 2022","10/31/2021","BROOKLYN","K11","25,464","37,978","3,442","2,009","36,870","22,016"
"FY 2022","10/31/2021","BROOKLYN","K12","40,862","57,286","10,764","2,798","60,402","20,227"
"FY 2022","10/31/2021","BROOKLYN","K13","14,829","31,677","5,301","2,668","31,786","21,129"
"FY 2022","10/31/2021","BROOKLYN","K14","17,923","29,159","4,859","2,798","31,418","18,751"
"FY 2022","10/31/2021","BROOKLYN","K15","17,827","29,040","3,193","1,766","27,944","17,531"
"FY 2022","10/31/2021","BROOKLYN","K16","11,857","32,269","12,275","6,277","37,790","22,012"
"FY 2022","10/31/2021","BROOKLYN","K17","15,001","28,763","8,289","4,962","31,891","20,780"
"FY 2022","10/31/2021","BROOKLYN","K18","16,470","28,062","5,728","3,183","29,909","18,520"
"FY 2022","10/31/2021","MANHATTAN","M01","1,502","2,702","533","374","2,144","1,616"
"FY 2022","10/31/2021","MANHATTAN","M02","2,430","3,478","415","341","3,002","2,432"
"FY 2022","10/31/2021","MANHATTAN","M03","20,626","38,090","7,063","4,480","37,643","25,706"
